Log_ID,Project_ID,Equipment_Type,Equipment_ID,Installation_Date,Last_Maintenance_Date,Next_Scheduled_Maintenance_Date,Runtime_Hours,Failure_Risk_Score,Sensors_Anomaly_Count,Maintenance_Type,Outcome,Notes
MAINT020,OUT020,Solar + Storage Inverter,SI-CHI-007,2025-01-01,2025-07-10,2026-01-10,2500,0.12,1,Preventive,No issue,"Chile solar + storage park commissioning inverter"
MAINT021,OUT021,Wind Turbine,WT-IND-002,2024-01-18,2025-05-15,2025-11-15,9500,0.26,4,Condition-based,Minor repair,"Indonesia onshore wind turbine gearbox alert"
MAINT022,OUT022,Gas Turbine,GT-AUS-CE5,2019-12-09,2025-01-25,2025-11-25,38000,0.50,10,Preventive,No issue,"Australia LNG gas turbine"
MAINT023,OUT023,Solar Panel String,SP-KEN-011,2023-04-12,2025-03-30,2025-09-30,15000,0.31,6,Condition-based,Minor repair,"Kenya solar farm panel string anomaly"
MAINT024,OUT024,Wind Turbine,WT-NOR-WS5,2025-02-14,2025-08-20,2026-02-20,5000,0.15,2,Preventive,No issue,"Norway wind & storage new project turbine"
MAINT025,OUT025,Oil Pumping Unit,OP-SAU-001,2020-07-07,2025-06-10,2025-12-10,34000,0.42,9,Major overhaul,Major overhaul,"Saudi large oil field pumping unit overhaul"
MAINT026,OUT026,Gas Compressor,GC-USA-M10,2017-10-23,2025-04-15,2025-10-15,49000,0.62,14,Failure event,Failure event,"USA mid-continent gas compressor failure"
MAINT027,OUT027,Solar Inverter,SI-FRA-008,2024-05-19,2025-06-12,2025-12-12,6500,0.23,3,Preventive,No issue,"Solar park France inverter health"
MAINT028,OUT028,Offshore Wind Turbine,OWT-JPN-018,2024-12-05,2025-07-20,2026-07-20,8500,0.18,2,Preventive,No issue,"Floating offshore wind Japan turbine commissioning"
MAINT029,OUT029,Wind Turbine,WT-ZAF-011,2024-04-30,2025-05-25,2025-11-25,9800,0.27,5,Condition-based,Minor repair,"Onshore wind South Africa turbine gearbox alert"
MAINT030,OUT030,Solar Panel String,SP-MAS-006,2023-09-12,2025-04-15,2025-10-15,13000,0.30,6,Condition-based,Minor repair,"Solar park Malaysia panel string anomaly"
MAINT031,OUT031,Wind Turbine,WT-MEX-M01,2024-03-12,2025-05-10,2025-11-10,9200,0.24,4,Condition-based,Minor repair,"Mexico onshore wind park turbine yaw system alert"
MAINT032,OUT032,Solar Inverter,SI-ARG-009,2025-02-01,2025-07-01,2026-01-01,2100,0.11,1,Preventive,No issue,"Argentina wind + solar cluster inverter"
MAINT033,OUT033,Oil Extraction Beam,EB-NOR-G07,2018-06-20,2025-02-15,2025-08-15,33000,0.38,9,Corrective,Major overhaul,"Norway offshore oil field extraction beam bearing wear"
MAINT034,OUT034,Solar Inverter,SI-UK-MID23,2024-08-14,2025-06-20,2025-12-20,7200,0.22,3,Preventive,No issue,"UK solar farm inverter routine check"
MAINT035,OUT035,Wind Turbine,WT-MOR-003,2024-11-11,2025-05-15,2025-11-15,9600,0.28,5,Condition-based,Minor repair,"Morocco onshore wind farm turbine hub vibration"
MAINT036,OUT036,Solar Panel String,SP-VIE-002,2023-12-05,2025-04-28,2025-10-28,15700,0.32,7,Condition-based,Minor repair,"Vietnam solar park panel string anomaly"
MAINT037,OUT037,Gas Turbine,GT-AUS-O17,2021-05-19,2025-03-12,2025-11-12,39500,0.52,11,Corrective,Major overhaul,"Australia LNG gas turbine turbine blade crack"
MAINT038,OUT038,Wind Turbine,WT-CHI-W12,2025-03-30,2025-08-25,2026-02-25,5400,0.16,2,Preventive,No issue,"Chile onshore wind park turbine commissioning"
MAINT039,OUT039,Solar Panel String,SP-IND-FS03,2024-07-22,2025-06-01,2025-12-01,7800,0.20,3,Preventive,No issue,"India floating solar array panel string check"
MAINT040,OUT040,Gas Compressor,GC-NOR-D34,2016-09‐10,2025-01-30,2025-08-30,46000,0.63,15,Failure event,Failure event,"Norway deep-water gas field compressor failure"
MAINT041,OUT041,Oil Pumping Unit,OP-UK-D15,2015-04-27,2025-04-30,2025-10-30,45500,0.59,12,Corrective,Major overhaul,"UK North Sea oil field pumping unit overhaul"
MAINT042,OUT042,Wind Turbine,WT-BRA-WF05,2024-04-10,2025-05-22,2025-11-22,10500,0.26,4,Condition-based,Minor repair,"Brazil onshore wind farm turbine gearbox alert"
MAINT043,OUT043,Solar Inverter,SI-SAU-011,2025-02-14,2025-07-30,2026-01-30,2600,0.13,1,Preventive,No issue,"Saudi solar park inverter commissioning check"
MAINT044,OUT044,Wind Turbine,WT-CAN-005,2024-12-22,2025-06-18,2025-12-18,8300,0.23,3,Preventive,No issue,"Canada onshore wind farm turbine check"
MAINT045,OUT045,Solar + Storage Inverter,SI-USA-WS07,2025-03-08,2025-08-20,2026-02-20,3100,0.14,2,Preventive,No issue,"US solar + storage west park inverter"
MAINT046,OUT046,Solar Inverter,SI-POL-002,2025-01-10,2025-07-05,2025-12-05,2200,0.10,0,Preventive,No issue,"Poland solar portfolio phase 2 inverter"
MAINT047,OUT047,Wind Turbine,WT-JPN-011,2024-10-03,2025-06-05,2025-12-05,7800,0.25,3,Condition-based,Minor repair,"Japan onshore wind park turbine vibration alert"
MAINT048,OUT048,Gas Compressor,GC-NOR-W15,2020-02-14,2025-02-14,2025-09-14,43000,0.54,10,Corrective,Major overhaul,"Norway deep-water gas field compressor gearbox issue"
MAINT049,OUT049,Oil Pumping Unit,OP-UAE-009,2022-08-20,2025-06-10,2025-12-10,28500,0.39,8,Preventive,No issue,"UAE offshore oil field pumping unit maintenance"
MAINT050,OUT050,Wind Turbine,WT-KEN-F01,2025-04-01,2025-08-15,2026-02-15,4700,0.17,2,Preventive,No issue,"Kenya hybrid solar + wind turbine new site"
MAINT051,OUT051,Wind Turbine,WT-MAS-003,2024-02-11,2025-05-30,2025-11-30,9100,0.22,3,Condition-based,Minor repair,"Malaysia onshore wind park turbine hub alert"
MAINT052,OUT052,Solar Inverter,SI-PER-012,2023-03-08,2025-04-22,2025-10-22,15800,0.30,6,Condition-based,Minor repair,"Peru solar farm inverter anomaly"
MAINT053,OUT053,Oil Pumping Unit,OP-AUS-G12,2014-11-03,2025-05-29,2025-11-29,49000,0.58,13,Corrective,Major overhaul,"Australia mature oil field pumping unit bearing replacement"
MAINT054,OUT054,Solar Inverter,SI-IDN-007,2025-02-20,2025-07-18,2026-01-18,2700,0.12,1,Preventive,No issue,"Indonesia solar + storage cluster inverter"
MAINT055,OUT055,Offshore Wind Turbine,OWT-USA-MA03,2023-12-05,2025-05-14,2026-05-14,12200,0.29,5,Condition-based,Minor repair,"USA mid-Atlantic offshore wind turbine blade inspection"
MAINT056,OUT056,Wind Turbine,WT-PRT-002,2024-06-21,2025-06-25,2025-12-25,8000,0.24,4,Preventive,No issue,"Portugal onshore wind farm maintenance"
MAINT057,OUT057,Wind Turbine,WT-NOR-WS09,2025-03-11,2025-08-10,2026-02-10,5200,0.18,2,Preventive,No issue,"Norway wind + storage project new turbine"
MAINT058,OUT058,Gas Turbine,GT-BRA-LQ4,2019-08-15,2025-01-20,2025-09-20,40000,0.50,9,Corrective,Major overhaul,"Brazil LNG gas turbine high vibration"
MAINT059,OUT059,Oil Extraction Beam,EB-FRA-005,2016-03-09,2025-04-02,2025-10-02,47000,0.55,11,Corrective,Major overhaul,"France offshore oil field extraction beam fatigue"
MAINT060,OUT060,Solar Panel String,SP-MEX-002,2023-07-29,2025-05-06,2025-11-06,14500,0.32,7,Condition-based,Minor repair,"Mexico onshore solar park panel string anomaly"
